"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinHeader_1x14_P2.54mm_Vertical";1;"HEADER-1X14";;;
2;"C5,C3,C6,C9";"C_0603_1608Metric";4;"0.1uF";;;
3;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
4;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100uF";;;
5;"U2,U3";"PW20";2;"74AHCT245";;;
6;"BT1";"BAT_1012";1;"1012";;;
7;"J1";"IDC-Header_2x08_P2.54mm_Vertical";1;"HTSS-108-01-G-D";;;
8;"LED1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"~";;;
9;"R4,R1,R5,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10K";;;
10;"C13,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"C";;;
11;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
12;"C1,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
13;"C7,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
14;"MOL2,MOL1,MOL3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";3;"CASE_SW";;;
15;"R10,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"56k";;;
16;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
17;"D2,D3";"LED_0603_1608Metric";2;"GREEN";;;
18;"MOL4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Vin";;;
19;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
20;"RST1,BOOT1";"SW_PUSH_6mm";2;"Lab Kit";;;
21;"X2";"CUI_UJ20-C-H-G-SMT-TR";1;"UJ20-C-H-G-SMT-TR";;;
22;"D1";"LED_0603_1608Metric";1;"RED";;;
